,R_hat
"prob_correct[162,4]",1.00035
"y_rep[104,20]",1.00035
"eta[120,11]",1.00035
"eta[85,1]",1.00035
"eta[107,7]",1.00035
"eta[132,25]",1.00035
"eta[162,4]",1.00035
"prob_correct[37,1]",1.00035
"prob_correct[192,10]",1.00035
"prob_correct[134,26]",1.00035
theta[160],1.00035
"eta[105,12]",1.00035
"eta[44,11]",1.00034
"prob_correct[195,22]",1.00034
"prob_correct[115,12]",1.00034
"y_rep[36,18]",1.00034
"prob_correct[153,11]",1.00034
"prob_correct[114,18]",1.00034
"eta[56,8]",1.00034
"prob_correct[127,28]",1.00034
"eta[170,15]",1.00034
"prob_correct[15,17]",1.00034
"eta[153,11]",1.00034
"eta[163,2]",1.00034
"prob_correct[120,13]",1.00034
"prob_correct[103,12]",1.00034
"eta[193,20]",1.00034
"eta[54,6]",1.00034
"eta[187,12]",1.00034
"eta[169,16]",1.00034
"y_rep[142,20]",1.00034
"prob_correct[170,15]",1.00034
"prob_correct[154,2]",1.00034
"eta[55,14]",1.00034
"eta[154,2]",1.00034
"y_rep[35,25]",1.00034
"eta[153,8]",1.00034
"eta[194,5]",1.00034
"prob_correct[169,16]",1.00034
"prob_correct[108,9]",1.00034
"eta[40,9]",1.00034
"eta[51,5]",1.00034
"prob_correct[109,27]",1.00034
"prob_correct[3,13]",1.00034
"prob_correct[7,27]",1.00034
"eta[48,13]",1.00034
"eta[159,10]",1.00034
"prob_correct[121,10]",1.00034
"y_rep[150,7]",1.00034
"eta[59,6]",1.00034
"eta[46,16]",1.00034
"eta[45,14]",1.00034
"eta[30,20]",1.00034
"y_rep[60,28]",1.00034
"prob_correct[153,8]",1.00034
"eta[71,15]",1.00034
"eta[132,20]",1.00034
"eta[132,7]",1.00034
"prob_correct[148,17]",1.00034
"eta[177,11]",1.00034
"eta[88,2]",1.00034
"prob_correct[40,9]",1.00034
"eta[129,5]",1.00034
"eta[90,12]",1.00034
"eta[177,3]",1.00034
"prob_correct[179,23]",1.00034
"eta[127,28]",1.00034
"eta[92,10]",1.00034
"eta[176,23]",1.00034
"prob_correct[71,15]",1.00034
"eta[173,18]",1.00034
"prob_correct[148,24]",1.00034
"prob_correct[79,22]",1.00034
"prob_correct[80,6]",1.00034
"eta[195,22]",1.00034
"prob_correct[90,12]",1.00034
"prob_correct[132,7]",1.00034
"eta[3,13]",1.00034
"prob_correct[88,14]",1.00034
"prob_correct[30,20]",1.00034
"prob_correct[88,2]",1.00034
"prob_correct[132,20]",1.00034
"y_rep[119,7]",1.00034
"prob_correct[176,23]",1.00034
"y_rep[121,23]",1.00034
"eta[79,22]",1.00034
"prob_correct[177,3]",1.00034
"eta[80,6]",1.00034
"prob_correct[177,11]",1.00034
"eta[173,22]",1.00034
"prob_correct[68,20]",1.00034
"prob_correct[44,11]",1.00034
"eta[114,18]",1.00034
"prob_correct[145,20]",1.00034
"eta[188,12]",1.00034
"prob_correct[51,5]",1.00034
"prob_correct[59,6]",1.00034
"eta[115,12]",1.00034
"eta[108,9]",1.00034
"prob_correct[144,8]",1.00034
"prob_correct[48,13]",1.00034
"prob_correct[56,8]",1.00034
"eta[109,27]",1.00034
"prob_correct[184,25]",1.00034
"prob_correct[55,14]",1.00034
"prob_correct[54,6]",1.00034
"eta[184,25]",1.00034
"eta[103,12]",1.00034
"prob_correct[145,22]",1.00034
"prob_correct[188,12]",1.00034
"eta[121,10]",1.00034
"eta[7,27]",1.00034
"prob_correct[159,10]",1.00034
"prob_correct[45,14]",1.00034
"eta[15,17]",1.00034
"eta[122,15]",1.00034
"prob_correct[46,16]",1.00034
"prob_correct[64,3]",1.00034
"prob_correct[63,2]",1.00034
"prob_correct[63,23]",1.00034
"prob_correct[63,20]",1.00034
"eta[120,13]",1.00034
"y_rep[81,16]",1.00034
"prob_correct[63,12]",1.00034
"prob_correct[187,12]",1.00034
"prob_correct[163,2]",1.00034
"eta[88,14]",1.00034
"prob_correct[122,15]",1.00034
"eta[144,8]",1.00034
"eta[145,22]",1.00034
"eta[68,20]",1.00034
"prob_correct[194,5]",1.00034
"eta[195,2]",1.00034
"prob_correct[25,2]",1.00034
"eta[194,27]",1.00034
"eta[25,2]",1.00034
"eta[145,20]",1.00034
"eta[64,3]",1.00034
"prob_correct[193,20]",1.00034
"prob_correct[129,5]",1.00034
"eta[63,23]",1.00034
"eta[63,2]",1.00034
"eta[63,20]",1.00034
"prob_correct[173,22]",1.00034
"prob_correct[173,18]",1.00034
"prob_correct[92,10]",1.00034
"prob_correct[195,2]",1.00034
"eta[63,12]",1.00034
"eta[148,24]",1.00034
"eta[179,23]",1.00034
"prob_correct[194,27]",1.00034
"eta[148,17]",1.00034
"eta[48,18]",1.00033
"prob_correct[62,17]",1.00033
"eta[87,6]",1.00033
"prob_correct[119,16]",1.00033
"eta[135,3]",1.00033
"prob_correct[76,14]",1.00033
"eta[107,14]",1.00033
"y_rep[6,14]",1.00033
"eta[171,12]",1.00033
"eta[193,14]",1.00033
"y_rep[172,14]",1.00033
"eta[160,5]",1.00033
"prob_correct[136,4]",1.00033
"prob_correct[119,12]",1.00033
"prob_correct[173,3]",1.00033
"eta[46,12]",1.00033
"eta[160,19]",1.00033
"eta[119,16]",1.00033
"eta[86,26]",1.00033
"prob_correct[77,8]",1.00033
"eta[51,6]",1.00033
"prob_correct[135,3]",1.00033
"prob_correct[94,6]",1.00033
"prob_correct[14,6]",1.00033
"prob_correct[168,27]",1.00033
"prob_correct[142,13]",1.00033
"eta[114,12]",1.00033
"prob_correct[178,4]",1.00033
"eta[133,14]",1.00033
"eta[188,22]",1.00033
"eta[84,4]",1.00033
"y_rep[92,12]",1.00033
"eta[62,17]",1.00033
"eta[173,3]",1.00033
"prob_correct[185,20]",1.00033
"prob_correct[78,27]",1.00033
"eta[180,26]",1.00033
"eta[14,6]",1.00033
"prob_correct[78,12]",1.00033
"prob_correct[136,20]",1.00033
"prob_correct[8,14]",1.00033
"y_rep[107,12]",1.00033
"prob_correct[141,3]",1.00033
b[3],1.00033
"eta[63,27]",1.00033
"y_rep[102,22]",1.00033
"y_rep[186,20]",1.00033
"y_rep[83,22]",1.00033
"prob_correct[48,18]",1.00033
"eta[42,18]",1.00033
"eta[8,14]",1.00033
"y_rep[38,23]",1.00033
"eta[103,26]",1.00033
"y_rep[190,8]",1.00033
"eta[8,19]",1.00033
"eta[169,26]",1.00033
"prob_correct[63,27]",1.00033
"prob_correct[46,12]",1.00033
"prob_correct[8,19]",1.00033
"prob_correct[61,14]",1.00033
"prob_correct[187,8]",1.00033
"prob_correct[171,12]",1.00033
"prob_correct[60,4]",1.00033
"prob_correct[22,22]",1.00033
"prob_correct[188,22]",1.00033
"prob_correct[51,6]",1.00033
"prob_correct[131,8]",1.00033
"eta[60,4]",1.00033
"eta[176,25]",1.00033
"y_rep[138,12]",1.00033
"y_rep[37,28]",1.00033
"prob_correct[3,18]",1.00033
"prob_correct[42,18]",1.00033
"prob_correct[114,12]",1.00033
"y_rep[84,12]",1.00033
"y_rep[105,5]",1.00033
"eta[94,6]",1.00033
"prob_correct[172,15]",1.00033
"eta[33,2]",1.00033
"y_rep[76,1]",1.00033
"prob_correct[180,26]",1.00033
"prob_correct[160,19]",1.00033
"prob_correct[155,12]",1.00033
"eta[131,8]",1.00033
"eta[119,12]",1.00033
"prob_correct[86,26]",1.00033
"eta[28,21]",1.00033
"prob_correct[160,5]",1.00033
"prob_correct[84,4]",1.00033
"eta[136,20]",1.00033
"eta[77,8]",1.00033
theta[13],1.00033
"eta[76,14]",1.00033
"eta[170,14]",1.00033
"eta[142,13]",1.00033
"eta[141,3]",1.00033
"eta[168,27]",1.00033
"eta[78,27]",1.00033
"prob_correct[27,10]",1.00033
"eta[61,14]",1.00033
"prob_correct[170,14]",1.00033
"eta[78,12]",1.00033
"eta[55,13]",1.00033
"prob_correct[33,2]",1.00033
"prob_correct[55,13]",1.00033
"prob_correct[133,14]",1.00033
"eta[27,10]",1.00033
"prob_correct[169,26]",1.00033
"prob_correct[193,14]",1.00033
"prob_correct[103,26]",1.00033
"eta[136,4]",1.00033
"prob_correct[87,6]",1.00033
"eta[185,20]",1.00033
"eta[187,8]",1.00033
"eta[172,15]",1.00033
"eta[178,4]",1.00033
"eta[3,18]",1.00033
"prob_correct[176,25]",1.00033
"prob_correct[107,14]",1.00033
"eta[22,22]",1.00033
"y_rep[57,28]",1.00033
"prob_correct[28,21]",1.00033
"eta[155,12]",1.00033
"prob_correct[118,15]",1.00032
"prob_correct[89,1]",1.00032
"eta[16,12]",1.00032
"eta[155,8]",1.00032
"y_rep[191,15]",1.00032
"eta[96,25]",1.00032
"eta[75,21]",1.00032
"eta[141,10]",1.00032
"eta[184,23]",1.00032
"prob_correct[60,8]",1.00032
"eta[55,5]",1.00032
"y_rep[77,12]",1.00032
"prob_correct[115,9]",1.00032
"y_rep[153,6]",1.00032
"prob_correct[141,10]",1.00032
"eta[32,1]",1.00032
"prob_correct[175,9]",1.00032
"prob_correct[55,5]",1.00032
"eta[93,14]",1.00032
"eta[116,27]",1.00032
"eta[35,15]",1.00032
"prob_correct[93,14]",1.00032
"prob_correct[180,20]",1.00032
"prob_correct[71,3]",1.00032
"prob_correct[121,20]",1.00032
"prob_correct[26,26]",1.00032
"eta[189,12]",1.00032
"eta[39,12]",1.00032
"y_rep[78,20]",1.00032
"prob_correct[64,21]",1.00032
"eta[165,20]",1.00032
"prob_correct[104,6]",1.00032
"prob_correct[146,1]",1.00032
"prob_correct[122,12]",1.00032
"prob_correct[116,27]",1.00032
"eta[41,10]",1.00032
"prob_correct[145,27]",1.00032
"eta[34,27]",1.00032
"eta[41,8]",1.00032
"eta[112,4]",1.00032
"prob_correct[5,2]",1.00032
"prob_correct[129,2]",1.00032
"eta[32,18]",1.00032
"eta[143,9]",1.00032
"eta[175,9]",1.00032
"eta[169,23]",1.00032
"eta[112,8]",1.00032
"prob_correct[196,17]",1.00032
"eta[71,3]",1.00032
"eta[104,6]",1.00032
"eta[121,20]",1.00032
"y_rep[142,7]",1.00032
"eta[118,15]",1.00032
"prob_correct[165,20]",1.00032
"eta[148,13]",1.00032
"prob_correct[132,5]",1.00032
"prob_correct[45,20]",1.00032
"eta[98,28]",1.00032
"prob_correct[16,12]",1.00032
"prob_correct[29,26]",1.00032
"y_rep[79,10]",1.00032
"prob_correct[127,8]",1.00032
"eta[72,22]",1.00032
"eta[122,12]",1.00032
"prob_correct[104,19]",1.00032
"prob_correct[143,9]",1.00032
"eta[104,19]",1.00032
"eta[8,22]",1.00032
"prob_correct[8,22]",1.00032
"eta[122,4]",1.00032
"prob_correct[185,8]",1.00032
"prob_correct[122,4]",1.00032
"eta[127,8]",1.00032
"prob_correct[34,27]",1.00032
"prob_correct[41,10]",1.00032
"eta[115,9]",1.00032
"prob_correct[98,28]",1.00032
"prob_correct[177,21]",1.00032
"y_rep[24,20]",1.00032
"eta[87,5]",1.00032
"eta[177,12]",1.00032
"prob_correct[112,4]",1.00032
"prob_correct[148,13]",1.00032
"prob_correct[76,26]",1.00032
"eta[76,26]",1.00032
"eta[37,23]",1.00032
"prob_correct[112,8]",1.00032
"prob_correct[107,4]",1.00032
"prob_correct[39,12]",1.00032
"eta[26,26]",1.00032
"prob_correct[81,14]",1.00032
"eta[196,17]",1.00032
"eta[177,21]",1.00032
"prob_correct[184,22]",1.00032
"prob_correct[38,15]",1.00032
"prob_correct[34,4]",1.00032
"prob_correct[184,23]",1.00032
"eta[146,1]",1.00032
theta[19],1.00032
"prob_correct[37,12]",1.00032
"prob_correct[37,23]",1.00032
"prob_correct[19,2]",1.00032
"eta[113,18]",1.00032
"prob_correct[53,19]",1.00032
"eta[132,5]",1.00032
"eta[184,22]",1.00032
"eta[137,1]",1.00032
"eta[37,12]",1.00032
"eta[145,27]",1.00032
"eta[29,26]",1.00032
"prob_correct[169,23]",1.00032
"y_rep[37,12]",1.00032
"eta[53,19]",1.00032
"prob_correct[75,21]",1.00032
"eta[45,20]",1.00032
"prob_correct[32,1]",1.00032
"eta[64,21]",1.00032
"prob_correct[96,25]",1.00032
"y_rep[72,27]",1.00032
"prob_correct[189,12]",1.00032
"prob_correct[87,5]",1.00032
"prob_correct[113,18]",1.00032
"eta[60,8]",1.00032
"prob_correct[137,1]",1.00032
"prob_correct[35,15]",1.00032
"eta[38,15]",1.00032
"prob_correct[41,8]",1.00032
"prob_correct[72,22]",1.00032
"prob_correct[177,12]",1.00032
"eta[89,1]",1.00032
"eta[185,8]",1.00032
"y_rep[29,5]",1.00032
"eta[136,12]",1.00032
"eta[34,4]",1.00032
"eta[180,20]",1.00032
"eta[19,2]",1.00032
"prob_correct[81,26]",1.00032
"prob_correct[32,18]",1.00032
"prob_correct[136,12]",1.00032
"eta[5,2]",1.00032
"eta[81,26]",1.00032
"eta[81,14]",1.00032
"prob_correct[155,8]",1.00032
"eta[129,2]",1.00032
"eta[107,4]",1.00032
"y_rep[47,10]",1.00032
"eta[40,14]",1.00031
"eta[1,10]",1.00031
"eta[103,21]",1.00031
"y_rep[37,7]",1.00031
"eta[36,15]",1.00031
"prob_correct[4,7]",1.00031
"eta[34,8]",1.00031
"prob_correct[171,20]",1.00031
"prob_correct[142,26]",1.00031
"eta[13,8]",1.00031
"eta[106,19]",1.00031
"prob_correct[141,12]",1.00031
"eta[116,14]",1.00031
"eta[117,3]",1.00031
"eta[169,18]",1.00031
"eta[192,3]",1.00031
"prob_correct[55,10]",1.00031
"eta[198,20]",1.00031
"eta[182,1]",1.00031
"eta[38,23]",1.00031
"eta[112,26]",1.00031
"eta[108,20]",1.00031
"y_rep[200,4]",1.00031
"y_rep[161,21]",1.00031
"prob_correct[123,13]",1.00031
"eta[167,8]",1.00031
"y_rep[159,27]",1.00031
"prob_correct[128,26]",1.00031
"eta[33,14]",1.00031
"eta[197,16]",1.00031
"y_rep[190,14]",1.00031
"prob_correct[185,23]",1.00031
"prob_correct[142,18]",1.00031
"eta[167,11]",1.00031
"y_rep[27,23]",1.00031
"y_rep[190,20]",1.00031
"prob_correct[34,8]",1.00031
"eta[79,12]",1.00031
"eta[136,14]",1.00031
"eta[171,20]",1.00031
"y_rep[64,18]",1.00031
"prob_correct[169,18]",1.00031
"y_rep[120,3]",1.00031
"prob_correct[108,20]",1.00031
"eta[190,4]",1.00031
"y_rep[179,14]",1.00031
"prob_correct[36,15]",1.00031
"prob_correct[197,16]",1.00031
"prob_correct[148,27]",1.00031
"y_rep[67,2]",1.00031
"prob_correct[79,12]",1.00031
"eta[146,3]",1.00031
"prob_correct[79,2]",1.00031
"prob_correct[13,8]",1.00031
"prob_correct[148,18]",1.00031
"y_rep[131,26]",1.00031
"prob_correct[179,3]",1.00031
"eta[189,26]",1.00031
"prob_correct[38,23]",1.00031
"prob_correct[190,4]",1.00031
"eta[79,2]",1.00031
"prob_correct[176,20]",1.00031
"prob_correct[95,4]",1.00031
"prob_correct[106,19]",1.00031
"prob_correct[103,21]",1.00031
"prob_correct[29,6]",1.00031
"eta[142,26]",1.00031
"eta[72,2]",1.00031
"eta[142,18]",1.00031
"eta[179,3]",1.00031
"eta[72,11]",1.00031
"prob_correct[17,17]",1.00031
"eta[24,2]",1.00031
"prob_correct[1,10]",1.00031
"eta[55,10]",1.00031
"eta[141,12]",1.00031
"eta[29,6]",1.00031
"prob_correct[16,18]",1.00031
"eta[23,8]",1.00031
"prob_correct[87,28]",1.00031
"y_rep[62,25]",1.00031
"eta[76,10]",1.00031
"y_rep[124,15]",1.00031
"y_rep[63,5]",1.00031
"eta[4,7]",1.00031
"prob_correct[192,3]",1.00031
"prob_correct[33,14]",1.00031
"prob_correct[171,15]",1.00031
"prob_correct[189,26]",1.00031
"prob_correct[127,26]",1.00031
"eta[148,27]",1.00031
"prob_correct[198,20]",1.00031
"prob_correct[44,8]",1.00031
"eta[47,12]",1.00031
theta[91],1.00031
"eta[123,13]",1.00031
"eta[189,10]",1.00031
"prob_correct[9,9]",1.00031
"y_rep[3,25]",1.00031
"prob_correct[23,8]",1.00031
"prob_correct[167,11]",1.00031
"prob_correct[8,28]",1.00031
"prob_correct[47,12]",1.00031
"prob_correct[167,8]",1.00031
"prob_correct[182,1]",1.00031
"prob_correct[146,3]",1.00031
"prob_correct[117,3]",1.00031
"prob_correct[116,14]",1.00031
"prob_correct[64,16]",1.00031
"eta[101,11]",1.00031
"eta[148,18]",1.00031
"prob_correct[101,11]",1.00031
"eta[8,28]",1.00031
"prob_correct[24,2]",1.00031
"eta[16,18]",1.00031
"eta[9,9]",1.00031
"prob_correct[72,11]",1.00031
"eta[87,28]",1.00031
"prob_correct[76,10]",1.00031
"eta[185,23]",1.00031
"prob_correct[112,26]",1.00031
"prob_correct[136,14]",1.00031
"prob_correct[40,14]",1.00031
"eta[128,26]",1.00031
"y_rep[108,12]",1.00031
"eta[95,4]",1.00031
"eta[127,26]",1.00031
"eta[171,15]",1.00031
"prob_correct[189,10]",1.00031
"prob_correct[72,2]",1.00031
"eta[17,17]",1.00031
"eta[64,16]",1.00031
"y_rep[41,5]",1.00031
"y_rep[5,15]",1.00031
"eta[176,20]",1.00031
"eta[44,8]",1.00031
"y_rep[22,18]",1.00031
"y_rep[16,7]",1.0003
"prob_correct[2,20]",1.0003
"eta[193,5]",1.0003
"eta[195,13]",1.0003
"eta[195,17]",1.0003
"eta[176,7]",1.0003
"eta[176,8]",1.0003
"eta[176,15]",1.0003
"eta[175,17]",1.0003
"eta[194,18]",1.0003
"eta[194,2]",1.0003
"eta[186,22]",1.0003
"prob_correct[73,19]",1.0003
"y_rep[67,19]",1.0003
"eta[76,2]",1.0003
"prob_correct[119,11]",1.0003
"prob_correct[119,13]",1.0003
"y_rep[63,12]",1.0003
"prob_correct[121,27]",1.0003
"prob_correct[86,15]",1.0003
"prob_correct[165,9]",1.0003
"y_rep[165,15]",1.0003
"prob_correct[125,8]",1.0003
"prob_correct[56,12]",1.0003
"eta[139,16]",1.0003
"eta[30,15]",1.0003
"eta[140,4]",1.0003
"eta[29,24]",1.0003
"eta[140,14]",1.0003
"prob_correct[30,15]",1.0003
"eta[28,19]",1.0003
"prob_correct[127,20]",1.0003
"prob_correct[176,7]",1.0003
"prob_correct[29,24]",1.0003
"prob_correct[193,5]",1.0003
"prob_correct[176,8]",1.0003
"eta[26,15]",1.0003
"prob_correct[176,15]",1.0003
"eta[24,12]",1.0003
"prob_correct[131,15]",1.0003
"eta[119,11]",1.0003
"prob_correct[59,14]",1.0003
"eta[21,26]",1.0003
"eta[38,10]",1.0003
"y_rep[157,17]",1.0003
"eta[106,15]",1.0003
"prob_correct[175,17]",1.0003
"eta[67,12]",1.0003
"prob_correct[94,14]",1.0003
"y_rep[132,16]",1.0003
"eta[65,27]",1.0003
"y_rep[130,8]",1.0003
"prob_correct[93,20]",1.0003
"eta[69,8]",1.0003
"y_rep[134,27]",1.0003
"eta[121,27]",1.0003
"eta[69,20]",1.0003
"eta[60,11]",1.0003
"eta[59,14]",1.0003
"y_rep[140,4]",1.0003
"eta[56,12]",1.0003
"prob_correct[186,22]",1.0003
"eta[125,8]",1.0003
"prob_correct[92,13]",1.0003
"eta[72,4]",1.0003
"prob_correct[106,15]",1.0003
"prob_correct[42,11]",1.0003
"prob_correct[89,14]",1.0003
"eta[127,20]",1.0003
"eta[73,19]",1.0003
"prob_correct[167,21]",1.0003
"y_rep[88,28]",1.0003
"eta[131,15]",1.0003
"prob_correct[38,10]",1.0003
"eta[42,11]",1.0003
"prob_correct[167,12]",1.0003
"y_rep[178,7]",1.0003
"prob_correct[28,19]",1.0003
"prob_correct[26,15]",1.0003
"prob_correct[16,24]",1.0003
"eta[11,16]",1.0003
"prob_correct[65,27]",1.0003
"prob_correct[194,2]",1.0003
"eta[156,20]",1.0003
"eta[10,4]",1.0003
"eta[156,26]",1.0003
"prob_correct[76,2]",1.0003
"eta[158,16]",1.0003
"prob_correct[147,28]",1.0003
"prob_correct[67,12]",1.0003
"y_rep[102,26]",1.0003
"prob_correct[11,16]",1.0003
"prob_correct[158,16]",1.0003
"prob_correct[69,8]",1.0003
"prob_correct[10,4]",1.0003
"prob_correct[69,20]",1.0003
"y_rep[104,14]",1.0003
"eta[2,20]",1.0003
"eta[94,14]",1.0003
"eta[89,14]",1.0003
"eta[93,20]",1.0003
"eta[165,9]",1.0003
"prob_correct[156,26]",1.0003
theta[139],1.0003
"prob_correct[72,4]",1.0003
"prob_correct[156,20]",1.0003
"eta[167,12]",1.0003
"eta[167,21]",1.0003
"eta[92,13]",1.0003
"prob_correct[16,17]",1.0003
"eta[119,13]",1.0003
"eta[16,17]",1.0003
"prob_correct[140,4]",1.0003
"prob_correct[194,18]",1.0003
"eta[16,24]",1.0003
"eta[147,28]",1.0003
"eta[80,27]",1.0003
"prob_correct[139,16]",1.0003
"prob_correct[24,12]",1.0003
"prob_correct[21,26]",1.0003
"prob_correct[195,13]",1.0003
"prob_correct[80,27]",1.0003
"prob_correct[140,14]",1.0003
"prob_correct[195,17]",1.0003
"eta[79,28]",1.0003
"prob_correct[60,11]",1.0003
"eta[86,15]",1.0003
"prob_correct[79,28]",1.0003
"prob_correct[82,20]",1.00029
"prob_correct[92,18]",1.00029
"prob_correct[76,27]",1.00029
"prob_correct[75,7]",1.00029
"eta[88,26]",1.00029
"y_rep[130,5]",1.00029
"eta[79,9]",1.00029
"eta[90,14]",1.00029
"y_rep[121,5]",1.00029
"eta[82,20]",1.00029
"prob_correct[90,14]",1.00029
"eta[177,25]",1.00029
"eta[88,12]",1.00029
"eta[75,7]",1.00029
"prob_correct[87,22]",1.00029
"eta[86,11]",1.00029
"prob_correct[86,11]",1.00029
"eta[76,27]",1.00029
"prob_correct[178,24]",1.00029
"prob_correct[88,12]",1.00029
"prob_correct[177,25]",1.00029
"prob_correct[88,26]",1.00029
"prob_correct[79,9]",1.00029
"eta[177,20]",1.00029
"eta[72,20]",1.00029
"eta[178,24]",1.00029
"y_rep[112,20]",1.00029
"eta[87,22]",1.00029
"prob_correct[5,8]",1.00029
"prob_correct[173,7]",1.00029
"prob_correct[144,20]",1.00029
"eta[19,18]",1.00029
"eta[19,11]",1.00029
"eta[18,18]",1.00029
"eta[18,12]",1.00029
"eta[189,16]",1.00029
"prob_correct[137,12]",1.00029
"prob_correct[137,23]",1.00029
"eta[17,1]",1.00029
"eta[14,15]",1.00029
"eta[184,20]",1.00029
"prob_correct[142,5]",1.00029
"prob_correct[143,8]",1.00029
"eta[11,18]",1.00029
"prob_correct[144,7]",1.00029
"eta[188,7]",1.00029
"eta[20,12]",1.00029
"prob_correct[145,9]",1.00029
"eta[6,13]",1.00029
"eta[6,8]",1.00029
"eta[6,2]",1.00029
"eta[5,8]",1.00029
"prob_correct[150,16]",1.00029
"eta[2,22]",1.00029
"prob_correct[153,15]",1.00029
a[7],1.00029
theta[171],1.00029
"eta[187,5]",1.00029
theta[127],1.00029
"prob_correct[155,18]",1.00029
"eta[186,13]",1.00029
"prob_correct[135,12]",1.00029
"eta[20,13]",1.00029
"eta[65,10]",1.00029
"eta[47,14]",1.00029
"eta[64,2]",1.00029
"y_rep[134,8]",1.00029
"prob_correct[97,27]",1.00029
"prob_correct[98,12]",1.00029
"eta[61,10]",1.00029
"eta[54,7]",1.00029
"y_rep[143,20]",1.00029
"eta[53,3]",1.00029
"y_rep[146,8]",1.00029
"eta[50,14]",1.00029
"prob_correct[110,26]",1.00029
"eta[49,2]",1.00029
"prob_correct[112,6]",1.00029
"eta[47,20]",1.00029
"eta[43,16]",1.00029
"y_rep[178,20]",1.00029
"prob_correct[72,20]",1.00029
"prob_correct[166,12]",1.00029
"prob_correct[119,4]",1.00029
"eta[181,28]",1.00029
"prob_correct[165,12]",1.00029
"prob_correct[123,20]",1.00029
"prob_correct[123,23]",1.00029
"prob_correct[125,28]",1.00029
"prob_correct[128,12]",1.00029
"eta[27,7]",1.00029
"eta[25,1]",1.00029
"y_rep[176,18]",1.00029
"prob_correct[132,27]",1.00029
"prob_correct[133,26]",1.00029
"y_rep[154,20]",1.00029
"prob_correct[177,20]",1.00029
"prob_correct[2,22]",1.00029
"prob_correct[54,7]",1.00029
"eta[123,20]",1.00029
"prob_correct[188,7]",1.00029
"prob_correct[19,18]",1.00029
"prob_correct[19,11]",1.00029
"eta[153,15]",1.00029
"prob_correct[47,14]",1.00029
"prob_correct[18,18]",1.00029
"prob_correct[47,20]",1.00029
"prob_correct[18,12]",1.00029
"eta[119,4]",1.00029
"prob_correct[187,5]",1.00029
"prob_correct[49,2]",1.00029
"prob_correct[17,1]",1.00029
"eta[155,18]",1.00029
"prob_correct[50,14]",1.00029
"y_rep[45,4]",1.00029
"prob_correct[186,13]",1.00029
"eta[198,17]",1.00029
"prob_correct[14,15]",1.00029
"eta[123,23]",1.00029
"prob_correct[20,12]",1.00029
"prob_correct[20,13]",1.00029
"eta[142,5]",1.00029
"eta[137,12]",1.00029
"eta[133,26]",1.00029
"eta[132,27]",1.00029
"eta[200,19]",1.00029
"eta[137,23]",1.00029
"eta[173,7]",1.00029
"prob_correct[189,16]",1.00029
"eta[128,12]",1.00029
"y_rep[57,24]",1.00029
"eta[150,16]",1.00029
"eta[143,8]",1.00029
"eta[125,28]",1.00029
"eta[144,7]",1.00029
"eta[144,20]",1.00029
"prob_correct[27,7]",1.00029
"eta[145,9]",1.00029
"prob_correct[25,1]",1.00029
"prob_correct[43,16]",1.00029
"prob_correct[53,3]",1.00029
"eta[135,12]",1.00029
"eta[165,12]",1.00029
"y_rep[104,17]",1.00029
"eta[166,12]",1.00029
"y_rep[100,28]",1.00029
"prob_correct[64,2]",1.00029
"prob_correct[65,10]",1.00029
"prob_correct[181,28]",1.00029
"prob_correct[6,13]",1.00029
"prob_correct[61,10]",1.00029
"eta[98,12]",1.00029
"eta[97,27]",1.00029
"y_rep[28,7]",1.00029
"y_rep[93,9]",1.00029
"prob_correct[184,20]",1.00029
"y_rep[98,8]",1.00029
"prob_correct[200,19]",1.00029
"prob_correct[6,2]",1.00029
"eta[110,26]",1.00029
"prob_correct[11,18]",1.00029
"prob_correct[198,17]",1.00029
"eta[92,18]",1.00029
"eta[112,6]",1.00029
"prob_correct[6,8]",1.00029
"eta[171,28]",1.00028
"eta[27,18]",1.00028
"prob_correct[155,16]",1.00028
"prob_correct[120,8]",1.00028
theta[106],1.00028
"eta[27,26]",1.00028
"prob_correct[155,25]",1.00028
"prob_correct[27,26]",1.00028
"prob_correct[162,19]",1.00028
"prob_correct[27,18]",1.00028
"prob_correct[134,4]",1.00028
"eta[141,17]",1.00028
"prob_correct[192,9]",1.00028
"prob_correct[121,17]",1.00028
"eta[182,8]",1.00028
"prob_correct[1,8]",1.00028
"y_rep[170,8]",1.00028
"eta[140,11]",1.00028
"prob_correct[126,12]",1.00028
"eta[200,20]",1.00028
"prob_correct[31,12]",1.00028
"y_rep[63,4]",1.00028
"prob_correct[125,15]",1.00028
"eta[31,12]",1.00028
"prob_correct[32,8]",1.00028
"eta[186,10]",1.00028
"eta[32,8]",1.00028
"prob_correct[165,3]",1.00028
"eta[141,14]",1.00028
"y_rep[43,8]",1.00028
"eta[149,24]",1.00028
"eta[150,12]",1.00028
"prob_correct[119,8]",1.00028
"prob_correct[8,27]",1.00028
"prob_correct[141,14]",1.00028
"prob_correct[9,14]",1.00028
"eta[187,24]",1.00028
"prob_correct[141,17]",1.00028
"prob_correct[150,12]",1.00028
"prob_correct[16,23]",1.00028
"eta[155,16]",1.00028
"prob_correct[149,24]",1.00028
"eta[155,25]",1.00028
"eta[162,19]",1.00028
"eta[156,27]",1.00028
"eta[161,10]",1.00028
"eta[9,14]",1.00028
"eta[8,27]",1.00028
"eta[7,21]",1.00028
"prob_correct[152,7]",1.00028
"prob_correct[140,11]",1.00028
"prob_correct[152,13]",1.00028
